budget,genres,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,director
237000000.0,Action Adventure Fantasy Science-Fiction,19995,en,150.437577,10-12-2009,2787965087.0,162.0,Avatar,7.2,11800,James Cameron
300000000.0,Adventure Fantasy Action,285,en,139.082615,19-05-2007,961000000.0,169.0,Pirates of the Caribbean: At World's End,6.9,4500,Gore Verbinski
245000000.0,Action Adventure Crime,206647,en,107.376788,26-10-2015,880674609.0,148.0,Spectre,6.3,4466,Sam Mendes
250000000.0,Action Crime Drama Thriller,49026,en,112.31295,16-07-2012,1084939099.0,165.0,The Dark Knight Rises,7.6,9106,Christopher Nolan
260000000.0,Action Adventure Science-Fiction,49529,en,43.926995,07-03-2012,284139100.0,132.0,John Carter,6.1,2124,Andrew Stanton
258000000.0,Fantasy Action Adventure,559,en,115.699814,01-05-2007,890871626.0,139.0,Spider-Man 3,5.9,3576,Sam Raimi
260000000.0,Animation Family,38757,en,48.681969,24-11-2010,591794936.0,100.0,Tangled,7.4,3330,Byron Howard
280000000.0,Action Adventure Science-Fiction,99861,en,134.279229,22-04-2015,1405403694.0,141.0,Avengers: Age of Ultron,7.3,6767,Joss Whedon
250000000.0,Adventure Fantasy Family,767,en,98.885637,07-07-2009,933959197.0,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,David Yates
250000000.0,Action Adventure Fantasy,209112,en,155.790452,23-03-2016,873260194.0,151.0,Batman v Superman: Dawn of Justice,5.7,7004,Zack Snyder
270000000.0,Adventure Fantasy Action Science-Fiction,1452,en,57.925623,28-06-2006,391081192.0,154.0,Superman Returns,5.4,1400,Bryan Singer
200000000.0,Adventure Action Thriller Crime,10764,en,107.928811,30-10-2008,586090727.0,106.0,Quantum of Solace,6.1,2965,Marc Forster
200000000.0,Adventure Fantasy Action,58,en,145.847379,20-06-2006,1065659812.0,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,Gore Verbinski
255000000.0,Action Adventure Western,57201,en,49.046956,03-07-2013,89289910.0,149.0,The Lone Ranger,5.9,2311,Gore Verbinski
225000000.0,Action Adventure Fantasy Science-Fiction,49521,en,99.398009,12-06-2013,662845518.0,143.0,Man of Steel,6.5,6359,Zack Snyder
225000000.0,Adventure Family Fantasy,2454,en,53.978602,15-05-2008,419651413.0,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,Andrew Adamson
220000000.0,Science-Fiction Action Adventure,24428,en,144.448633,25-04-2012,1519557910.0,143.0,The Avengers,7.4,11776,Joss Whedon
380000000.0,Adventure Action Fantasy,1865,en,135.413856,14-05-2011,1045713802.0,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Rob Marshall
225000000.0,Action Comedy Science-Fiction,41154,en,52.035179,23-05-2012,624026776.0,106.0,Men in Black 3,6.2,4160,Barry Sonnenfeld
250000000.0,Action Adventure Fantasy,122917,en,120.965743,10-12-2014,956019788.0,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,Peter Jackson
215000000.0,Action Adventure Fantasy,1930,en,89.866276,27-06-2012,752215857.0,136.0,The Amazing Spider-Man,6.5,6586,Marc Webb
200000000.0,Action Adventure,20662,en,37.668301,12-05-2010,310669540.0,140.0,Robin Hood,6.2,1398,Ridley Scott
250000000.0,Adventure Fantasy,57158,en,94.370564,11-12-2013,958400000.0,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,Peter Jackson
180000000.0,Adventure Fantasy,2268,en,42.990906,04-12-2007,372234864.0,113.0,The Golden Compass,5.8,1303,Chris Weitz
207000000.0,Adventure Drama Action,254,en,61.22601,14-12-2005,550000000.0,187.0,King Kong,6.6,2337,Peter Jackson
200000000.0,Drama Romance Thriller,597,en,100.025899,18-11-1997,1845034188.0,194.0,Titanic,7.5,7562,James Cameron
250000000.0,Adventure Action Science-Fiction,271110,en,198.372395,27-04-2016,1153304495.0,147.0,Captain America: Civil War,7.1,7241,Anthony Russo
209000000.0,Thriller Action Adventure Science-Fiction,44833,en,64.928382,11-04-2012,303025485.0,131.0,Battleship,5.5,2114,Peter Berg
150000000.0,Action Adventure Science-Fiction Thriller,135397,en,418.708552,09-06-2015,1513528810.0,124.0,Jurassic World,6.5,8662,
200000000.0,Action Adventure Thriller,37724,en,93.004993,25-10-2012,1108561013.0,143.0,Skyfall,6.9,7604,Sam Mendes
200000000.0,Action Adventure Fantasy,558,en,35.149586,25-06-2004,783766341.0,127.0,Spider-Man 2,6.7,4321,Sam Raimi
200000000.0,Action Adventure Science-Fiction,68721,en,77.68208,18-04-2013,1215439994.0,130.0,Iron Man 3,6.8,8806,Shane Black
200000000.0,Family Fantasy Adventure,12155,en,78.530105,03-03-2010,1025491110.0,108.0,Alice in Wonderland,6.4,4645,Tim Burton
210000000.0,Adventure Action Science-Fiction Thriller,36668,en,3.857526,24-05-2006,459359555.0,104.0,X-Men: The Last Stand,6.3,3525,Brett Ratner
200000000.0,Animation Family,62211,en,89.186492,20-06-2013,743559607.0,104.0,Monsters University,7.0,3528,Dan Scanlon
150000000.0,Science-Fiction Action Adventure,8373,en,21.939663,19-06-2009,836297228.0,150.0,Transformers: Revenge of the Fallen,6.0,3138,Michael Bay
210000000.0,Science-Fiction Action Adventure,91314,en,116.840296,25-06-2014,1091405097.0,165.0,Transformers: Age of Extinction,5.8,3095,Michael Bay
200000000.0,Fantasy Adventure Family,68728,en,46.985445,07-03-2013,491868548.0,130.0,Oz: The Great and Powerful,5.7,3530,Sam Raimi
200000000.0,Action Adventure Fantasy,102382,en,89.270217,16-04-2014,705717432.0,142.0,The Amazing Spider-Man 2,6.5,4179,Marc Webb
170000000.0,Adventure Action Science-Fiction,20526,en,73.79505,10-12-2010,400062763.0,125.0,TRON: Legacy,6.3,2841,Joseph Kosinski
200000000.0,Animation Family Adventure Comedy,49013,en,49.98659,11-06-2011,559852396.0,106.0,Cars 2,5.8,2033,John Lasseter
200000000.0,Adventure Action Thriller Science-Fiction,44912,en,51.872839,16-06-2011,219851172.0,114.0,Green Lantern,5.1,2487,Martin Campbell
200000000.0,Animation Family Comedy,10193,en,59.995418,16-06-2010,1066969703.0,103.0,Toy Story 3,7.6,4597,Lee Unkrich
200000000.0,Action Science-Fiction Thriller,534,en,71.862892,20-05-2009,371353001.0,115.0,Terminator Salvation,5.9,2463,McG
190000000.0,Action,168259,en,102.322217,01-04-2015,1506249360.0,137.0,Furious 7,7.3,4176,James Wan
200000000.0,Action Drama Horror Science-Fiction Thriller,72190,en,81.834855,20-06-2013,531865000.0,116.0,World War Z,6.7,5560,Marc Forster
250000000.0,Action Adventure Fantasy Science-Fiction,127585,en,118.078691,15-05-2014,747862775.0,131.0,X-Men: Days of Future Past,7.5,6032,Bryan Singer
190000000.0,Action Adventure Science-Fiction,54138,en,78.291018,05-05-2013,467365246.0,132.0,Star Trek Into Darkness,7.4,4418,J.J. Abrams
195000000.0,Action Family Fantasy,81005,en,43.349855,27-02-2013,197687603.0,114.0,Jack the Giant Slayer,5.5,2598,Bryan Singer
105000000.0,Drama Romance,64682,en,61.196071,10-05-2013,351040419.0,143.0,The Great Gatsby,7.3,3769,Baz Luhrmann
150000000.0,Adventure Fantasy Action Romance,9543,en,62.169881,19-05-2010,335154643.0,116.0,Prince of Persia: The Sands of Time,6.2,2317,Mike Newell
