employee_no,RemoteWorkSetting,CommunicationTool,ProductivityScore
1,Hybrid,Zoom,93.08690968022051
2,Coworking space,Zoom,98.87113359588186
3,Hybrid,Email,81.42054689271832
4,Hybrid,Slack,80.34142128909842
5,Home office,Email,64.21399748031463
6,Hybrid,Slack,59.74954237002529
7,Coworking space,Slack,63.76899649957558
8,Hybrid,Email,71.20823565427447
9,Hybrid,Slack,72.64783043899924
10,Home office,Email,59.14369396699439
11,Home office,Zoom,44.01410894539275
12,Home office,Zoom,78.88222711102284
13,Home office,Slack,73.59931279811335
14,Hybrid,Zoom,80.21686575866227
15,Coworking space,Email,79.88169505521181
16,Home office,Slack,66.38245104140314
17,Home office,Slack,62.46119332250988
18,Home office,Email,82.65936258705534
19,Home office,Email,86.51436537097152
20,Home office,Slack,97.05930082725456
21,Home office,Email,63.61098003315349
22,Coworking space,Zoom,61.94037239282597
23,Coworking space,Email,90.69392669705736
24,Hybrid,Slack,99.59411342388286
25,Home office,Slack,82.37368575896242
26,Hybrid,Email,86.50205542546632
27,Hybrid,Slack,90.1273905395637
28,Home office,Zoom,70.26364317209784
29,Coworking space,Slack,77.27291285752808
30,Home office,Zoom,65.00122765402082
31,Coworking space,Zoom,65.87476868904831
32,Hybrid,Zoom,84.6094939312833
33,Coworking space,Slack,88.14271994506868
34,Home office,Zoom,63.20463656990948
35,Home office,Slack,78.86186399174856
36,Coworking space,Slack,96.62204049099527
37,Home office,Slack,86.75829044782104
38,Home office,Email,61.33259597734899
39,Hybrid,Zoom,74.24213986133825
40,Coworking space,Zoom,71.11131016153078
41,Home office,Zoom,68.091002062449
42,Coworking space,Slack,76.6884501575672
43,Hybrid,Email,62.32647950989772
44,Hybrid,Email,71.64989238066984
45,Hybrid,Zoom,81.743472978718
46,Hybrid,Email,100.98303927269316
47,Hybrid,Email,82.12264635470518
48,Home office,Slack,89.90732028150799
49,Home office,Email,69.05291031063109
50,Coworking space,Slack,93.07236534578568
51,Coworking space,Zoom,79.64441230229825
52,Coworking space,Zoom,94.6095248814794
53,Coworking space,Slack,71.73734540059544
54,Hybrid,Zoom,78.20747363097139
55,Hybrid,Zoom,65.99956887379302
56,Home office,Zoom,54.723305058793926
57,Coworking space,Email,72.01937264758938
58,Home office,Zoom,75.38589050999802
59,Coworking space,Email,69.61211789795047
60,Hybrid,Zoom,74.29767607990841
61,Hybrid,Zoom,67.02678531224099
62,Hybrid,Slack,75.72320401876196
63,Home office,Email,84.91389626124288
64,Hybrid,Slack,84.2614663969031
65,Coworking space,Email,88.9070639129317
66,Coworking space,Email,67.0591467683875
67,Hybrid,Slack,82.78740856096
68,Hybrid,Slack,61.38024289208213
69,Hybrid,Email,55.22112068479551
70,Home office,Zoom,77.73805862405058
71,Home office,Email,79.97345446583586
72,Coworking space,Email,80.2968323030333
73,Home office,Email,65.56018040353935
74,Home office,Email,45.733207566069254
75,Home office,Slack,84.07105195800301
76,Coworking space,Slack,89.68439119445644
77,Hybrid,Email,85.31114458921742
78,Home office,Zoom,69.44380629469403
79,Hybrid,Email,86.77861938808579
80,Home office,Slack,70.65648724381482
81,Home office,Slack,85.04053897878877
82,Coworking space,Zoom,76.73970414686985
83,Home office,Slack,65.64166131597608
84,Home office,Email,63.21113848377946
85,Coworking space,Email,94.95644137033467
86,Hybrid,Slack,66.29051529905392
87,Coworking space,Zoom,88.397270908927
88,Coworking space,Slack,99.17299046476852
89,Coworking space,Slack,86.99524073558632
90,Home office,Email,54.93705286081908
91,Home office,Zoom,63.946334819343846
92,Coworking space,Zoom,73.96633961897892
93,Home office,Zoom,81.27462431758582
94,Home office,Slack,60.71319299774031
95,Coworking space,Zoom,67.14097598873133
96,Coworking space,Email,97.43712225122933
97,Hybrid,Email,76.81035129597004
98,Home office,Email,65.71087371143823
99,Coworking space,Email,89.78736005937347
100,Coworking space,Slack,92.94862667793218
101,Hybrid,Zoom,71.47891928511892
102,Hybrid,Email,74.75374018568519
103,Hybrid,Zoom,69.43562790600876
104,Home office,Zoom,74.8362732380729
105,Coworking space,Zoom,74.8524185328254
106,Home office,Email,72.82978498051992
107,Coworking space,Slack,82.66907939015587
108,Coworking space,Email,90.69315969424348
109,Coworking space,Email,102.38143338497952
110,Coworking space,Slack,73.01698855299213
111,Coworking space,Zoom,90.5523737472422
112,Hybrid,Slack,76.67524724648587
113,Home office,Zoom,72.0284591589681
114,Coworking space,Zoom,69.62483277174947
115,Hybrid,Zoom,71.36076068473528
116,Home office,Slack,68.6224849754659
117,Hybrid,Slack,92.42869549603736
118,Hybrid,Zoom,81.99740144865173
119,Coworking space,Email,103.92365265937728
120,Home office,Zoom,54.284668954901534
121,Coworking space,Slack,74.02796953516966
122,Coworking space,Email,84.12912160308778
123,Hybrid,Slack,85.012489895674
124,Hybrid,Email,64.15432087994233
125,Hybrid,Email,61.36528455381416
126,Coworking space,Zoom,70.67538013279542
127,Coworking space,Email,97.5488618198111
128,Hybrid,Zoom,84.4821561718723
