"Product_ID","Product_Weight","Energy_Efficiency","Visibility_Index","Product_Category","Product_Price","Store_ID","Store_Established_Year","Store_Size","Location_Type","Store_Type","Sales_Performance"
"FDA15",9.3,"Energy Efficient",0.016047301,"Laptops",249.8092,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",3735.138
"DRC01",5.92,"Standard",0.019278216,"Smartphones",48.2692,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",443.4228
"FDN15",17.5,"Energy Efficient",0.016760075,"Tablets",141.618,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",2097.27
"FDX07",19.2,"Standard",0.0661320287789511,"Monitors",182.095,"OUT010",15,"Small","Tier 3","Retail Electronics Store",732.38
"NCD19",8.93,"Energy Efficient",0.0661320287789511,"Refrigerators",53.8614,"OUT013",26,"High","Tier 3","Electronics Store Type1",994.7052
"FDP36",10.395,"Standard",0.0661320287789511,"Microwaves",51.4008,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",556.6088
"FDO10",13.65,"Standard",0.012741089,"Speakers",57.6588,"OUT013",26,"High","Tier 3","Electronics Store Type1",343.5528
"FDP10",12.857645184136,"Energy Efficient",0.127469857,"Speakers",107.7622,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",4022.7636
"FDH17",16.2,"Standard",0.016687114,"Air Conditioners",96.9726,"OUT045",11,"Small","Tier 2","Electronics Store Type1",1076.5986
"FDU28",19.2,"Standard",0.09444959,"Air Conditioners",187.8214,"OUT017",6,"Small","Tier 2","Electronics Store Type1",4710.535
"FDY07",11.8,"Energy Efficient",0.0661320287789511,"Monitors",45.5402,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",1516.0266
"FDA03",18.5,"Standard",0.045463773,"Laptops",144.1102,"OUT046",16,"Small","Tier 1","Electronics Store Type1",2187.153
"FDX32",15.1,"Standard",0.1000135,"Monitors",145.4786,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",1589.2646
"FDS46",17.6,"Standard",0.047257328,"Speakers",119.6782,"OUT046",16,"Small","Tier 1","Electronics Store Type1",2145.2076
"FDF32",16.35,"Energy Efficient",0.0680243,"Monitors",196.4426,"OUT013",26,"High","Tier 3","Electronics Store Type1",1977.426
"FDP49",9,"Standard",0.069088961,"Printers",56.3614,"OUT046",16,"Small","Tier 1","Electronics Store Type1",1547.3192
"NCB42",11.8,"Energy Efficient",0.008596051,"Washing Machines",115.3492,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",1621.8888
"FDP49",9,"Standard",0.069196376,"Printers",54.3614,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",718.3982
"DRI11",12.857645184136,"Energy Efficient",0.034237682,"Cameras",113.2834,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",2303.668
"FDU02",13.35,"Energy Efficient",0.10249212,"Laptops",230.5352,"OUT035",9,"Small","Tier 2","Electronics Store Type1",2748.4224
"FDN22",18.85,"Standard",0.138190277,"Speakers",250.8724,"OUT013",26,"High","Tier 3","Electronics Store Type1",3775.086
"FDW12",12.857645184136,"Standard",0.035399923,"Microwaves",144.5444,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",4064.0432
"NCB30",14.6,"Energy Efficient",0.025698134,"Refrigerators",196.5084,"OUT035",9,"Small","Tier 2","Electronics Store Type1",1587.2672
"FDC37",12.857645184136,"Energy Efficient",0.057556998,"Microwaves",107.6938,"OUT019",28,"Small","Tier 1","Retail Electronics Store",214.3876
"FDR28",13.85,"Standard",0.025896485,"Air Conditioners",165.021,"OUT046",16,"Small","Tier 1","Electronics Store Type1",4078.025
"NCD06",13,"Energy Efficient",0.099887103,"Refrigerators",45.906,"OUT017",6,"Small","Tier 2","Electronics Store Type1",838.908
"FDV10",7.645,"Standard",0.066693437,"Speakers",42.3112,"OUT035",9,"Small","Tier 2","Electronics Store Type1",1065.28
"DRJ59",11.65,"Energy Efficient",0.019356132,"Cameras",39.1164,"OUT013",26,"High","Tier 3","Electronics Store Type1",308.9312
"FDE51",5.925,"Standard",0.161466534,"Laptops",45.5086,"OUT010",15,"Small","Tier 3","Retail Electronics Store",178.4344
"FDC14",12.857645184136,"Standard",0.072221801,"Headphones",43.6454,"OUT019",28,"Small","Tier 1","Retail Electronics Store",125.8362
"FDV38",19.25,"Energy Efficient",0.170348551,"Laptops",55.7956,"OUT010",15,"Small","Tier 3","Retail Electronics Store",163.7868
"NCS17",18.6,"Energy Efficient",0.080829372,"Washing Machines",96.4436,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",2741.7644
"FDP33",18.7,"Energy Efficient",0.0661320287789511,"Speakers",256.6672,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",3068.0064
"FDO23",17.85,"Energy Efficient",0.0661320287789511,"Keyboards",93.1436,"OUT045",11,"Small","Tier 2","Electronics Store Type1",2174.5028
"DRH01",17.5,"Energy Efficient",0.097904029,"Smartphones",174.8738,"OUT046",16,"Small","Tier 1","Electronics Store Type1",2085.2856
"NCX29",10,"Energy Efficient",0.089291137,"Washing Machines",146.7102,"OUT049",14,"Medium","Tier 1","Electronics Store Type1",3791.0652
"FDV20",12.857645184136,"Standard",0.059511812,"Monitors",128.0678,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",2797.6916
"DRZ11",8.85,"Standard",0.113123893,"Smartphones",122.5388,"OUT018",4,"Medium","Tier 3","Electronics Store Type2",1609.9044
"FDX10",12.857645184136,"Standard",0.123111453,"Speakers",36.9874,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",388.1614
"FDB34",12.857645184136,"Energy Efficient",0.026480954,"Speakers",87.6198,"OUT027",28,"Medium","Tier 3","Specialty Electronics Store",2180.495
"FDU02",13.35,"Energy Efficient",0.102511504,"Laptops",230.6352,"OUT046",16,"Small","Tier 1","Electronics Store Type1",3435.528
"FDK43",9.8,"Energy Efficient",0.02681843,"Tablets",126.002,"OUT013",26,"High","Tier 3","Electronics Store Type1",2150.534
